"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,20191231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
dart_LongTermTradeAndOtherNonCurrentPayables,비유동매입채무 및 기타채무,Long-term trade and other non-current payables,재무상태표 [abstract],부채 [abstract],비유동부채,비유동매입채무 및 기타채무,110591932952.0,63707696848.0,40882034260.0,32872443464.0
dart_LongTermBorrowingsGross,장기차입금,"Long-term borrowings, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기차입금,1176180814414.0,553054383302.0,409800632340.0,72269299023.0
ifrs-full_NoncurrentProvisions,비유동충당부채,Non-current provisions,재무상태표 [abstract],부채 [abstract],비유동부채,비유동충당부채,70152191789.0,51933989850.0,19593569206.0,14843784861.0
ifrs-full_NoncurrentLeaseLiabilities,장기리스부채,Non-current lease liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,장기리스부채,1643415690958.0,1318154680608.0,273311358645.0,164988889409.0
dart_PostemploymentBenefitObligations,순확정급여부채,Post-employment benefit obligations,재무상태표 [abstract],부채 [abstract],비유동부채,순확정급여부채,18513520426.0,0.0,10312727876.0,3554861405.0
ifrs-full_NoncurrentProvisionsForEmployeeBenefits,기타장기종업원급여부채,Non-current provisions for employee benefits,재무상태표 [abstract],부채 [abstract],비유동부채,기타장기종업원급여부채,73168070521.0,67927036792.0,53831741284.0,43591934768.0
dart_NonCurrentDerivativeLiabilities,비유동파생상품부채,Non-current derivative liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,비유동파생상품부채,3540223385.0,0.0,20887374536.0,7371532411.0
ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,이연법인세부채,652640915613.0,756812080553.0,248959627837.0,141056455523.0
ifrs-full_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,Other non-current financial liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동금융부채,25620302574.0,43010342710.0,58188394383.0,62843093016.0
dart_OtherNonCurrentLiabilities,기타비유동부채,Other non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동부채,70105451425.0,30493639805.0,30330479473.0,20423574529.0
entity00258801_udf_BS_2020512145628809_LiabilitiesAbstract,금융업부채,Financial liabilities,재무상태표 [abstract],부채 [abstract],금융업부채,,439373375957.0,674218278328.0,430552810286.0,0.0
entity00258801_udf_BS_2020512145711461_udf_BS_2020512145628809_LiabilitiesAbstract,예수부채,Deposit Debt,재무상태표 [abstract],부채 [abstract],금융업부채,예수부채,394287025981.0,598311012207.0,377849115961.0,0.0
entity00258801_udf_BS_202051214571452_udf_BS_2020512145628809_LiabilitiesAbstract,순확정급여부채,Post-employment benefit obligations,재무상태표 [abstract],부채 [abstract],금융업부채,순확정급여부채,0.0,338195551.0,192416852.0,0.0
entity00258801_udf_BS_2020811142350565_udf_BS_2020512145628809_LiabilitiesAbstract,기타장기종업원급여부채,Non-current provisions for employee benefits,재무상태표 [abstract],부채 [abstract],금융업부채,기타장기종업원급여부채,2342292649.0,1020025247.0,264307051.0,0.0
entity00258801_udf_BS_202051214571582_udf_BS_2020512145628809_LiabilitiesAbstract,충당부채,Provisions,재무상태표 [abstract],부채 [abstract],금융업부채,충당부채,1123725557.0,1150731869.0,228722201.0,0.0
entity00258801_udf_BS_2023315141437854_udf_BS_2020512145628809_LiabilitiesAbstract,보험계약부채,Insurance contract liabilities,재무상태표 [abstract],부채 [abstract],금융업부채,보험계약부채,190017033.0,0.0,0.0,
entity00258801_udf_BS_2020512145716189_udf_BS_2020512145628809_LiabilitiesAbstract,리스부채,Lease liabilities,재무상태표 [abstract],부채 [abstract],금융업부채,리스부채,2327359627.0,10266406116.0,3304366508.0,0.0
entity00258801_udf_BS_2020512145717182_udf_BS_2020512145628809_LiabilitiesAbstract,기타금융부채,Other Financial liabilities,재무상태표 [abstract],부채 [abstract],금융업부채,기타금융부채,33212919917.0,49080390702.0,41400433588.0,0.0
entity00258801_udf_BS_2020512145718302_udf_BS_2020512145628809_LiabilitiesAbstract,기타부채,Other Liabilities,재무상태표 [abstract],부채 [abstract],금융업부채,기타부채,5890035193.0,14051516636.0,7313448125.0,0.0
ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,9431629284734.0,9189586347537.0,4526241211441.0,2997138004486.0
ifrs-full_EquityAttributableToOwnersOfParent,지배기업 소유주지분,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,,9997275748506.0,9984379517747.0,6298920282572.0,5225359119201.0
ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,자본금,44592368900.0,44640599000.0,44300999000.0,43161318000.0
dart_CapitalSurplus,자본잉여금,Capital surplus,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,자본잉여금,8115902296138.0,7781245387618.0,5833100132472.0,5043198614715.0
dart_ElementsOfOtherStockholdersEquity,자본조정,Elements of other stockholder's equity,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,자본조정,41031372904.0,77070391410.0,18616904708.0,7238239019.0
dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,Other Comprehensive income/loss accumulated amount,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,기타포괄손익누계액,-1250708497448.0,371824570298.0,86577386868.0,-16393294393.0
ifrs-full_RetainedEarnings,이익잉여금(결손금),Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,이익잉여금(결손금),3046458208012.0,1709598569421.0,316324859524.0,148154241860.0
ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,3534586542374.0,3605592845949.0,1128808744943.0,514758632087.0
ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,13531862290880.0,13589972363696.0,7427729027515.0,5740117751288.0
ifrs-full_EquityAndLiabilities,부채와자본총계,Total equity and liabilities,재무상태표 [abstract],부채와자본총계,,,22963491575614.0,22779558711233.0,11953970238956.0,8737255755774.0
