"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,20191231,20181231,20171231,20161231,20151231,20141231,20131231,20121231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
entity00164742_udf_BS_20213584341924_CurrentLiabilities,매각예정비유동부채,Non-Current Liabilities Held for Sale,재무상태표 [abstract],부채 [abstract],유동부채,매각예정비유동부채,5365000000.0,,214066000000.0,,719396000000.0,,,,,,
ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,90609445000000.0,87093839000000.0,73543714000000.0,64832370000000.0,57321328000000.0,60281391000000.0,62881557000000.0,57273025000000.0,49424879000000.0,44919008000000.0,40784540000000.0
dart_LongTermOtherPayablesGross,장기성미지급금,"Long-Term other Payables, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기성미지급금,726115000000.0,769487000000.0,798547000000.0,847287000000.0,20319000000.0,19189000000.0,22586000000.0,2054000000.0,2339000000.0,15964000000.0,8271000000.0
dart_BondsIssued,사채,Debentures,재무상태표 [abstract],부채 [abstract],비유동부채,사채,62960060000000.0,63458809000000.0,48795361000000.0,41805814000000.0,36956114000000.0,36454192000000.0,36456392000000.0,36207504000000.0,30302085000000.0,29322780000000.0,26370689000000.0
dart_LongTermBorrowingsGross,장기차입금,Long-term debt,재무상태표 [abstract],부채 [abstract],비유동부채,장기차입금,12285149000000.0,10667731000000.0,12726724000000.0,11217088000000.0,9985250000000.0,12488137000000.0,13389983000000.0,8552622000000.0,7430429000000.0,4666030000000.0,4142473000000.0
dart_PostemploymentBenefitObligations,순확정급여부채,Net defined benefit liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,순확정급여부채,61861000000.0,79165000000.0,247566000000.0,412598000000.0,433247000000.0,157213000000.0,492173000000.0,604433000000.0,594058000000.0,389306000000.0,821749000000.0
ifrs-full_NoncurrentProvisions,충당부채,Provisions,재무상태표 [abstract],부채 [abstract],비유동부채,충당부채,4327985000000.0,4214137000000.0,4010118000000.0,3682895000000.0,3508036000000.0,4844463000000.0,5047078000000.0,5031558000000.0,4882090000000.0,5122982000000.0,5240744000000.0
ifrs-full_OtherNoncurrentFinancialLiabilities,기타금융부채,Other financial liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타금융부채,262518000000.0,87258000000.0,459507000000.0,175196000000.0,297506000000.0,438070000000.0,23454000000.0,145282000000.0,210528000000.0,440113000000.0,356193000000.0
dart_OtherNonCurrentLiabilities,기타부채,Other liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타부채,4252265000000.0,3344618000000.0,2612752000000.0,2552819000000.0,2800510000000.0,2645420000000.0,2827665000000.0,2471738000000.0,1952147000000.0,1609481000000.0,1482358000000.0
ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,이연법인세부채,5027741000000.0,3689328000000.0,3277573000000.0,3503077000000.0,3320346000000.0,3234707000000.0,4622226000000.0,4257834000000.0,4051203000000.0,3352352000000.0,2362063000000.0
entity00164742_udf_BS_201911193548214_NoncurrentLiabilities,리스부채,Non-Current Lease Liability,재무상태표 [abstract],부채 [abstract],비유동부채,리스부채,705751000000.0,783306000000.0,615566000000.0,635596000000.0,,,,,,,
ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,164845917000000.0,151330626000000.0,133003242000000.0,118146466000000.0,106759742000000.0,103442100000000.0,106491350000000.0,98486545000000.0,84604552000000.0,76838690000000.0,73620239000000.0
ifrs-full_EquityAttributableToOwnersOfParent,지배기업소유주지분,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,,82349287000000.0,74986122000000.0,69480633000000.0,70065802000000.0,67973969000000.0,69103484000000.0,67189658000000.0,62023958000000.0,57654828000000.0,51931085000000.0,44039059000000.0
ifrs-full_IssuedCapital,자본금,Capital stock,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,자본금,1488993000000.0,1488993000000.0,1488993000000.0,1488993000000.0,1488993000000.0,1488993000000.0,1488993000000.0,1488993000000.0,1488993000000.0,1488993000000.0,1488993000000.0
dart_CapitalSurplus,자본잉여금,Capital surplus,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,자본잉여금,4241303000000.0,4070260000000.0,4190093000000.0,4197015000000.0,4201214000000.0,4201214000000.0,4202597000000.0,3520395000000.0,4134550000000.0,4130668000000.0,4158988000000.0
dart_ElementsOfOtherStockholdersEquity,기타자본항목,Other capital items,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,기타자본항목,-1713928000000.0,-1968385000000.0,-1700592000000.0,-1516817000000.0,-1155244000000.0,-1640096000000.0,-1640096000000.0,-1588697000000.0,-1273752000000.0,-1128779000000.0,-1128779000000.0
dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,Accumulated other comprehensive loss,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,기타포괄손익누계액,-1620682000000.0,-1772601000000.0,-3409661000000.0,-2353022000000.0,-3052198000000.0,-2278955000000.0,-1223244000000.0,-1431821000000.0,-1344826000000.0,-834036000000.0,-473373000000.0
ifrs-full_RetainedEarnings,이익잉여금,Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,이익잉여금,79953601000000.0,73167855000000.0,68911800000000.0,68249633000000.0,66490082000000.0,67332328000000.0,64361408000000.0,60035088000000.0,54649863000000.0,48274239000000.0,39993230000000.0
ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,8547258000000.0,7629667000000.0,6860337000000.0,6299952000000.0,5922041000000.0,5653870000000.0,5154920000000.0,4857443000000.0,4965737000000.0,4651704000000.0,3878516000000.0
ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,90896545000000.0,82615789000000.0,76340970000000.0,76365754000000.0,73896010000000.0,74757354000000.0,72344578000000.0,66881401000000.0,62620565000000.0,56582789000000.0,47917575000000.0
ifrs-full_EquityAndLiabilities,부채와자본총계,Total equity and liabilities,재무상태표 [abstract],부채와자본총계,,,255742462000000.0,233946415000000.0,209344212000000.0,194512220000000.0,180655752000000.0,178199454000000.0,178835928000000.0,165367946000000.0,147225117000000.0,133421479000000.0,121537814000000.0
