concept_id,label_ko,label_en,class1,class2,class3,Date,finance_statement,corp_code,company
entity00258689_udf_BS_2020319171055507_NoncurrentAssets,당기손익-공정가치측정금융자산(비유동),"Non-current financial assets measured at fair value through profit or loss",자산,비유동자산,당기손익-공정가치측정금융자산(비유동),20181231,3176495665,035900,JYP
ifrs-full_Inventories,재고자산,Inventories,자산,유동자산,재고자산,20181231,1481778495,035900,JYP
ifrs-full_TradeAndOtherCurrentPayables,매입채무및기타채무,"Trade and other current payables",부채,유동부채,매입채무및기타채무,20181231,9272826929,035900,JYP
dart_ShortTermAdvancesCustomers,선수금,"Short-term advances customers",부채,유동부채,선수금,20181231,14865773045,035900,JYP
ifrs-full_OtherCurrentFinancialLiabilities,기타유동금융부채,"Other current financial liabilities",부채,유동부채,기타유동금융부채,20181231,0,035900,JYP
ifrs-full_Equity,자본총계,"Total equity",자본,자본총계,NULL,20181231,127968053471,035900,JYP
ifrs-full_NoncontrollingInterests,비지배지분,"Non-controlling interests",자본,비지배지분,NULL,20181231,1139858704,035900,JYP
ifrs-full_RetainedEarnings,이익잉여금,"Retained earnings",자본,"지배기업의 소유주지분",이익잉여금,20181231,48261938685,035900,JYP
dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,"Other Comprehensive income/loss accumulated amount",자본,"지배기업의 소유주지분",기타포괄손익누계액,20181231,-68800504,035900,JYP
dart_OtherCapitalAdjustments,자본조정,"Other capital adjustments",자본,"지배기업의 소유주지분",자본조정,20181231,-9772970909,035900,JYP
dart_CapitalSurplus,자본잉여금,"Capital surplus",자본,"지배기업의 소유주지분",자본잉여금,20181231,70535713995,035900,JYP
ifrs-full_IssuedCapital,자본금,"Issued capital",자본,"지배기업의 소유주지분",자본금,20181231,17872313500,035900,JYP
ifrs-full_EquityAndLiabilities,자본과부채총계,"Total equity and liabilities",자본과부채총계,NULL,NULL,20181231,159341919774,035900,JYP
ifrs-full_Liabilities,부채총계,"Total liabilities",부채,부채총계,NULL,20181231,31373866303,035900,JYP
ifrs-full_EquityAttributableToOwnersOfParent,"지배기업의 소유주지분","Equity attributable to owners of parent",자본,"지배기업의 소유주지분",NULL,20181231,126828194767,035900,JYP
ifrs-full_CurrentTaxLiabilities,당기법인세부채,"Current tax liabilities",부채,유동부채,당기법인세부채,20181231,795569388,035900,JYP
ifrs-full_NoncurrentLiabilities,비유동부채,"Non-current liabilities",부채,비유동부채,NULL,20181231,861172348,035900,JYP
dart_OtherCurrentLiabilities,기타유동부채,"Other current liabilities",부채,유동부채,기타유동부채,20181231,5578524593,035900,JYP
ifrs-full_NoncurrentProvisions,충당부채,"Non-current provisions",부채,비유동부채,충당부채,20181231,0,035900,JYP
dart_OtherNonCurrentLiabilities,기타비유동부채,"Other non-current liabilities",부채,비유동부채,기타비유동부채,20181231,322076538,035900,JYP
ifrs-full_DeferredTaxLiabilities,이연법인세부채,"Deferred tax liabilities",부채,비유동부채,이연법인세부채,20181231,289095810,035900,JYP
ifrs-full_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,"Other non-current financial liabilities",부채,비유동부채,기타비유동금융부채,20181231,250000000,035900,JYP
