label_ko,class1,class2,class3,Date,finance_statement,corp_code,company
기타유동자산,자산,유동자산,기타유동자산,2021-12-31,4106281094.0,35900,JYP
기타유동자산,자산,유동자산,기타유동자산,2022-12-31,6843109192.0,35900,JYP
당기법인세자산,자산,유동자산,당기법인세자산,2016-12-31,0.0,35900,JYP
당기법인세자산,자산,유동자산,당기법인세자산,2017-12-31,1136070700.0,35900,JYP
당기법인세자산,자산,유동자산,당기법인세자산,2018-12-31,1600670071.0,35900,JYP
당기법인세자산,자산,유동자산,당기법인세자산,2019-12-31,143080.0,35900,JYP
당기법인세자산,자산,유동자산,당기법인세자산,2020-12-31,1978697.0,35900,JYP
당기법인세자산,자산,유동자산,당기법인세자산,2021-12-31,8226822.0,35900,JYP
당기법인세자산,자산,유동자산,당기법인세자산,2022-12-31,779340.0,35900,JYP
당기손익-공정가치측정금융자산(유동),자산,유동자산,당기손익-공정가치측정금융자산(유동),2016-12-31,0.0,35900,JYP
당기손익-공정가치측정금융자산(유동),자산,유동자산,당기손익-공정가치측정금융자산(유동),2017-12-31,1055111453.0,35900,JYP
당기손익-공정가치측정금융자산(유동),자산,유동자산,당기손익-공정가치측정금융자산(유동),2018-12-31,0.0,35900,JYP
당기손익-공정가치측정금융자산(유동),자산,유동자산,당기손익-공정가치측정금융자산(유동),2019-12-31,1157800000.0,35900,JYP
당기손익-공정가치측정금융자산(유동),자산,유동자산,당기손익-공정가치측정금융자산(유동),2020-12-31,5101974076.0,35900,JYP
당기손익-공정가치측정금융자산(유동),자산,유동자산,당기손익-공정가치측정금융자산(유동),2021-12-31,5675597350.0,35900,JYP
당기손익-공정가치측정금융자산(유동),자산,유동자산,당기손익-공정가치측정금융자산(유동),2022-12-31,0.0,35900,JYP
매출채권및기타채권,자산,유동자산,매출채권및기타채권,2016-12-31,7597380370.0,35900,JYP
매출채권및기타채권,자산,유동자산,매출채권및기타채권,2017-12-31,11052585408.0,35900,JYP
매출채권및기타채권,자산,유동자산,매출채권및기타채권,2018-12-31,13383878416.0,35900,JYP
매출채권및기타채권,자산,유동자산,매출채권및기타채권,2019-12-31,14319304388.0,35900,JYP
매출채권및기타채권,자산,유동자산,매출채권및기타채권,2020-12-31,19457512337.0,35900,JYP
매출채권및기타채권,자산,유동자산,매출채권및기타채권,2021-12-31,46946321942.0,35900,JYP
매출채권및기타채권,자산,유동자산,매출채권및기타채권,2022-12-31,68206650598.0,35900,JYP
재고자산,자산,유동자산,재고자산,2016-12-31,1372862613.0,35900,JYP
재고자산,자산,유동자산,재고자산,2017-12-31,1653786151.0,35900,JYP
재고자산,자산,유동자산,재고자산,2018-12-31,1481778495.0,35900,JYP
재고자산,자산,유동자산,재고자산,2019-12-31,690988886.0,35900,JYP
재고자산,자산,유동자산,재고자산,2020-12-31,448282082.0,35900,JYP
재고자산,자산,유동자산,재고자산,2021-12-31,1433494363.0,35900,JYP
재고자산,자산,유동자산,재고자산,2022-12-31,2397304762.0,35900,JYP
현금및현금성자산,자산,유동자산,현금및현금성자산,2016-12-31,24834072865.0,35900,JYP
현금및현금성자산,자산,유동자산,현금및현금성자산,2017-12-31,25360096727.0,35900,JYP
현금및현금성자산,자산,유동자산,현금및현금성자산,2018-12-31,44957699516.0,35900,JYP
현금및현금성자산,자산,유동자산,현금및현금성자산,2019-12-31,38658746138.0,35900,JYP
현금및현금성자산,자산,유동자산,현금및현금성자산,2020-12-31,34542244171.0,35900,JYP
현금및현금성자산,자산,유동자산,현금및현금성자산,2021-12-31,49138232915.0,35900,JYP
현금및현금성자산,자산,유동자산,현금및현금성자산,2022-12-31,139647280323.0,35900,JYP
유동자산,자산,유동자산,,2016-12-31,43960719353.0,35900,JYP
유동자산,자산,유동자산,,2017-12-31,58395470412.0,35900,JYP
유동자산,자산,유동자산,,2018-12-31,82595693876.0,35900,JYP
유동자산,자산,유동자산,,2019-12-31,116257542821.0,35900,JYP
유동자산,자산,유동자산,,2020-12-31,126952970508.0,35900,JYP
유동자산,자산,유동자산,,2021-12-31,159186900028.0,35900,JYP
유동자산,자산,유동자산,,2022-12-31,237105821049.0,35900,JYP
자산총계,자산,자산총계,,2016-12-31,86571517594.0,35900,JYP
자산총계,자산,자산총계,,2017-12-31,124428024149.0,35900,JYP
자산총계,자산,자산총계,,2018-12-31,159341919774.0,35900,JYP
자산총계,자산,자산총계,,2019-12-31,207839679239.0,35900,JYP
자산총계,자산,자산총계,,2020-12-31,223949702666.0,35900,JYP
자산총계,자산,자산총계,,2021-12-31,317418306083.0,35900,JYP
자산총계,자산,자산총계,,2022-12-31,411122310132.0,35900,JYP
부채총계,부채,부채총계,,2016-12-31,8192496000000.0,660,SK하이닉스
부채총계,부채,부채총계,,2017-12-31,11597545000000.0,660,SK하이닉스
부채총계,부채,부채총계,,2018-12-31,16806004000000.0,660,SK하이닉스
부채총계,부채,부채총계,,2019-12-31,17312468000000.0,660,SK하이닉스
부채총계,부채,부채총계,,2020-12-31,19264756000000.0,660,SK하이닉스
부채총계,부채,부채총계,,2021-12-31,34155467000000.0,660,SK하이닉스
부채총계,부채,부채총계,,2022-12-31,40580970000000.0,660,SK하이닉스
기타금융부채,부채,비유동부채,기타금융부채,2016-12-31,685154000000.0,660,SK하이닉스
기타금융부채,부채,비유동부채,기타금융부채,2017-12-31,3412000000.0,660,SK하이닉스
기타금융부채,부채,비유동부채,기타금융부채,2018-12-31,0.0,660,SK하이닉스
기타금융부채,부채,비유동부채,기타금융부채,2019-12-31,15532000000.0,660,SK하이닉스
기타금융부채,부채,비유동부채,기타금융부채,2020-12-31,88121000000.0,660,SK하이닉스
기타금융부채,부채,비유동부채,기타금융부채,2021-12-31,4606000000.0,660,SK하이닉스
기타금융부채,부채,비유동부채,기타금융부채,2022-12-31,4290000000.0,660,SK하이닉스
기타비유동부채,부채,비유동부채,기타비유동부채,2016-12-31,61883000000.0,660,SK하이닉스
기타비유동부채,부채,비유동부채,기타비유동부채,2017-12-31,68860000000.0,660,SK하이닉스
기타비유동부채,부채,비유동부채,기타비유동부채,2018-12-31,79303000000.0,660,SK하이닉스
기타비유동부채,부채,비유동부채,기타비유동부채,2019-12-31,87773000000.0,660,SK하이닉스
기타비유동부채,부채,비유동부채,기타비유동부채,2020-12-31,98927000000.0,660,SK하이닉스
기타비유동부채,부채,비유동부채,기타비유동부채,2021-12-31,94006000000.0,660,SK하이닉스
기타비유동부채,부채,비유동부채,기타비유동부채,2022-12-31,204844000000.0,660,SK하이닉스
기타지급채무,부채,비유동부채,기타지급채무,2016-12-31,27426000000.0,660,SK하이닉스
기타지급채무,부채,비유동부채,기타지급채무,2017-12-31,3412000000.0,660,SK하이닉스
기타지급채무,부채,비유동부채,기타지급채무,2018-12-31,15231000000.0,660,SK하이닉스
기타지급채무,부채,비유동부채,기타지급채무,2019-12-31,18266000000.0,660,SK하이닉스
기타지급채무,부채,비유동부채,기타지급채무,2020-12-31,29923000000.0,660,SK하이닉스
기타지급채무,부채,비유동부채,기타지급채무,2021-12-31,32215000000.0,660,SK하이닉스
기타지급채무,부채,비유동부채,기타지급채무,2022-12-31,28083000000.0,660,SK하이닉스
리스부채,부채,비유동부채,리스부채,2016-12-31,0.0,660,SK하이닉스
리스부채,부채,비유동부채,리스부채,2017-12-31,0.0,660,SK하이닉스
리스부채,부채,비유동부채,리스부채,2018-12-31,0.0,660,SK하이닉스
리스부채,부채,비유동부채,리스부채,2019-12-31,1373828000000.0,660,SK하이닉스
리스부채,부채,비유동부채,리스부채,2020-12-31,1296252000000.0,660,SK하이닉스
리스부채,부채,비유동부채,리스부채,2021-12-31,1223703000000.0,660,SK하이닉스
리스부채,부채,비유동부채,리스부채,2022-12-31,1516208000000.0,660,SK하이닉스
