ItemID,Company,Title,Link,Description,PubDate
5025,삼성전자,"[외국인·기관 동반 매도 종목] '평단가 얼마길래' 파워로직스·이수페타시스...",https://www.thekpm.com/news/articleView.html?idxno=172456,"파워로직스는 삼성전자, 삼성SDI, LG화학 등을 주요 거래처로 확보하고 있다. 이날 파워로직스에 개인이 20만 8702주를 홀로 매수했지만 주가 방어에 실패했다. 외국인이 116만 4350주, 기타법이네서 220주, 기타외국인이... ","2023-09-09 09:46:00"
5026,삼성전자,"'포스트 차이나' 인도네시아 눈여겨보는 韓 재계총수들",https://daily.hankooki.com/news/articleView.html?idxno=997668,"정의선 현대자동차 회장을 비롯해 구광모 LG 회장, 신동빈 롯데 회장, 구자은 LS 회장, 노태문 삼성전자 사장, 박상규 SK엔무브 사장, 최윤범 고려아연 회장, 윤춘성 LX인터내셔널 대표이사 등 20여명의 기업인들이... ","2023-09-09 09:32:00"
5027,삼성전자,"이재용 회장, 미래 먹거리 확보에 '총력'...하반기도 바쁜 일정 소화할 듯.",http://www.getnews.co.kr/news/articleView.html?idxno=640743,""더욱 열심히 뛰어서 기업인의 책무와 소임을 다하겠다" 이재용 삼성전자 회장이 지난해 8월 15일 복권 이후 입장문을 통해 한 말이다. 사법리스크로 인해 멈췄었던 삼성전자의 대규모 투자와 M&A 등을 다시... ","2023-09-09 09:20:00"
5028,삼성전자,"인구 대국 印, ‘기회의 땅’ 부상… 韓기업들 시장 선점 경쟁 [토요 기획]",https://n.news.naver.com/mnews/article/022/0003853699?sid=101,"삼성전자도 인도를 핵심 생산공장 거점 중 한 곳으로 삼고 있다. 올해 인도 진출 28년째인 삼성전자는 노이다와 첸나이 지역에 각각 스마트폰과 가전제품 생산 공장을 운영 중이다. 시장조사업체... ","2023-09-09 09:03:00"
5029,삼성전자,"엔씨디지텍, 네이버 스토어 갤럭시북 인기 모델 '삼성 슈퍼위크 주말 한정 특...",http://www.it-b.co.kr/news/articleView.html?idxno=70411,"삼성전자몰 '엔씨디지텍'은 9월 10일까지 네이버 스토어를 통해 갤럭시북 인기 모델들을 대상으로 '삼성 슈퍼위크 주말 한정 특가' 행사를 진행한다. 이번 '삼성 슈퍼위크 주말 한정 특가' 행사는 갤럭시북3 및... ","2023-09-09 09:02:00"
5030,삼성전자,"삼성·LG, IFA서 빛났다…중국 맹추격 外[금주의 산업계 이슈]",https://n.news.naver.com/mnews/article/003/0012079375?sid=101,"삼성전자는 처음 참가하는 IAA에서 메모리, 시스템LSI, 파운드리, LED에 이르기까지 DS(반도체) 부문 전 영역의 차량용 반도체 솔루션을 공개했다. 스폰서 자격으로 IAA에 첫 참가한 LG전자는 별도 전시관을 마련하진... ","2023-09-09 09:01:00"
5031,삼성전자,"“삼성전자답게…피규어 동호회도 초일류를 지향합니다” [퇴근 후 방구석 공...",https://n.news.naver.com/mnews/article/009/0005184247?sid=102,"삼성전자 수원사업장 센트럴파크 동호회문화센터에 들어서자 가장 먼저 넓은 탁구장이 눈에 들어왔습니다. 동네에 있는 실내탁구장과는 비교도 안되는 모습이었고 그 옆으로 피트니스 센터를 비롯해 여러 공간들이... ","2023-09-09 08:55:00"
5032,삼성전자,"[추천e종목] '팔자' 외인, 금융주는 사들였다",http://www.enewstoday.co.kr/news/articleView.html?idxno=2036731,"최정욱 하나증권 연구원은 "삼성전자가 증시 유동성을 빨아들이는 상황이 지속될 경우 반도체 이외 업종 중에서는 외국인 수급 개선이 이뤄지는 저평가 업종이 주목받을 가능성이 높다"고 말했다. 이어... ","2023-09-09 08:55:00"
5033,삼성전자,"KB증권, 9월 둘째주 LIG넥스원 등 4종목 매수 추천",http://www.bigtanews.co.kr/article/view/big202309080006,"삼성전자(005930) 첨단 패키징 증설, HBM 수주 +3배 확대. 턴키 생산 강점, 2024년 HBM 점유율 48%. HBM 턴키 효과로 점유율이 확대되며 단기에 8만원대 안착이 가능할 것으로 예상. 목표주가 9만5000원과... ","2023-09-09 08:32:00"
5034,삼성전자,"인도·베트남 뜬다는데…펀드투자 해도 될까?[도와줘요 자산관리]",https://n.news.naver.com/mnews/article/011/0004236170?sid=101,"베트남 전자 산업 생산의 60% 가량은 무선 통신기기에서 발생했는데, 이는 애플·삼성전자 등 글로벌 기업들이 베트남에 스마트폰 공장을 운영하고 있기 때문이다. 이로 인해 베트남의 전자 산업 종사자는 지난해 6월... ","2023-09-09 08:31:00"
5035,삼성전자,"中 7나노 자력 생산, "전 세계 발칵"…향후 쟁점은?",https://n.news.naver.com/mnews/article/003/0012079361?sid=101,"최근 메이트60 프로 제품을 분해해 리버스엔지니어링(역공학)으로 기술을 추적한 테크인사이츠는 기자들과 만나 "중국 제품이 원가 경쟁력이 다소 떨어져도 정부의 막대한 지원과 내수가 뒷받침되기 때문에 삼성전자와... ","2023-09-09 08:31:00"
5036,삼성전자,"‘전기 덜 쓰면 돈 줄게’…美텍사스 주정부, 비트코인 채굴업체에 400억원 보...",https://n.news.naver.com/mnews/article/016/0002195080?sid=104,"또 7일에는 추가 발전기 가동을 허용해달라는 긴급 요청을 미 에너지부에 제출해 승인받기도 했다. 텍사스주에는 삼성전자를 비롯해 여러 한국 기업이 공장을 운영 중이어서 현지 에너지 상황에 촉각을 곤두세우고 있다.","2023-09-09 08:27:00"
5037,삼성전자,"이수페타시스 주가 숨고르기 언제 끝날까...삼중 바닥이후 반전은?",https://www.pinpointnews.co.kr/news/articleView.html?idxno=216088,"한편 9월 스마트폰 관련 상장기업 브랜드평판 1위는 삼성전자가 차지했다. 순위는 다음과 같다. 삼성전자, 삼성SDI, LG전자, LG디스플레이, 이수페타시스, 파워로직스, LG이노텍, 대덕전자, 동운아나텍, 이엠텍, 레몬, 드림텍... ","2023-09-09 08:02:00"
5038,삼성전자,"'7만전자' 힘겨운 사수…증권가 "조만간 8만원 안착"",https://n.news.naver.com/mnews/article/003/0012079350?sid=101,""삼성전자 주식은 6만원대 사서 7만원에 팔아야 돈 버네요." 삼성전자 주가가 7만원선을 위협받자 개인투자자들이 노심초사하고 있다. 최근 엔비디아에 4세대 고대역폭메모리(HBM) 공급 소식에도 주가는 시원한 상승... ","2023-09-09 08:01:00"
5039,삼성전자,"美텍사스, 비트코인 채굴업체에 '절전' 대가 400억원 지급 논란",https://n.news.naver.com/mnews/article/001/0014181532?sid=104,"또 7일에는 추가 발전기 가동을 허용해달라는 긴급 요청을 미 에너지부에 제출해 승인받기도 했다. 텍사스주에는 삼성전자를 비롯해 여러 한국 기업이 공장을 운영 중이어서 현지 에너지 상황에 촉각을 곤두세우고 있다.","2023-09-09 07:51:00"
5040,삼성전자,"[피플&] 신사업·글로벌 사업역량…SK쉴더스 홍원표 대표이사",http://www.newspim.com/news/view/20230908000860,"2007년 삼성전자 네트워크 사업부로 자리를 옮기기 전까지 KT 차세대 휴대인터넷사업본부장을 역임했는데, KT에서 근무했던 경력으로 KT 수장이 바뀔 때마다 홍 대표는 KT 대표이사 후보 물망에 오르기도 했다.... ","2023-09-09 07:34:00"
5041,삼성전자,"[외국인·기관 쌍끌이 매수 특징주] '종목 평단가는?' 포스코DX·레인보우로보...",https://www.thekpm.com/news/articleView.html?idxno=172449,"업종 하락에 LG유플러스, 대성창투, 삼성전자, TS인베스트먼트, 모비스, 에스넷, 알서포트, 로보로보, NAVER, 커머스마이너, 에이스테크, LG전자, 드림시큐리티, 유니퀘스트, 휴림로봇, 인피니트헬스케어, TPC... ","2023-09-09 07:32:00"
5042,삼성전자,"네카토 페이에 따라 잡힌다?… 카드업계 초비상",https://n.news.naver.com/mnews/article/417/0000947607?sid=101,"네이버페이·카카오페이·토스 등 전자금융업자 37곳, 삼성전자(삼성페이) 등 휴대폰제조사 3곳, 카드사(9곳)·은행(6곳) 등 금융회사 15곳이 서비스를 선보인다. 간편결제 서비스 이용금액을 제공업자별로 보면... ","2023-09-09 07:11:00"
5043,삼성전자,"‘한국 반도체’ 또 새우등 되나…화웨이 스마트폰이 부른 후폭풍",https://n.news.naver.com/mnews/article/028/0002655834?sid=101,"가장 큰 문제는 삼성전자와 에스케이하이닉스의 중국 반도체 공장에 첨단장비 반입 허용 여부다. 미국 정부는 지난해 10월 중국에 반도체 첨단장비 반입을 금지하는 규제를 발표했는데, 삼성전자와 에스케이하이닉스는... ","2023-09-09 07:03:00"
5044,삼성전자,"“기름값 오른 것도 힘든데 내 주식 왜이래”…11월 파월 마음 두고 흔들리는...",https://n.news.naver.com/mnews/article/016/0002195064?sid=101,"지난주 금요일 삼성전자가 엔비디아에 고대역폭메모리(HBM)3를 공급한다는 소식에도 증시는 상승세를 보이지 못했습니다. 삼성전자는 7만원선을 겨우 지키는 데 그쳤습니다. 주식시장을 끌어내린 가장 주요한 소식은... ","2023-09-09 07:02:00"
5045,삼성전자,"'밧데리 아저씨' 저주 탓?…삼성전자 1조원어치 판 개미들 [김익환의 컴퍼니워...",https://n.news.naver.com/mnews/article/015/0004889818?sid=101,""삼성전자는 잘될 수 없어요. 빨리 정리하십쇼. 미련 버리십쇼. 난파하는 배입니다." 올해 7월 26일. 이른바 '밧데리 아저씨'로 통하는 박순혁 전 금양 홍보이사(사진)는 한 유튜브에 출연해 이같이 말했다. 나빠진 실적을... ","2023-09-09 07:02:00"
